id,original_sequence,summary_sequence
302,"[3431, 20, 35, 1492, 1091, 4, 1519, 86, 141, 1, 1413, 3, 766, 81, 948, 599, 5, 3156, 141, 20, 249, 2855, 13, 4369, 8, 664, 56, 1, 4757, 3431, 435, 12, 1, 924, 141, 20, 115, 7, 363, 35, 70, 346, 4, 1, 3359, 1038, 53, 15, 1, 1, 3425, 2, 3, 3370, 54, 5, 707, 3174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3431, 20, 35, 1492, 1091, 4, 1519, 86, 141, 1, 1413, 3, 766, 81, 948, 599, 5, 3156, 141, 20, 249, 2855, 13, 4369, 8, 664, 56, 1, 4757, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
303,"[3, 39, 5, 1903, 10, 105, 1932, 9, 8, 538, 115, 7, 4646, 4, 8, 753, 1148, 11, 28, 1087, 1289, 5, 544, 12, 238, 14, 157, 199, 1734, 3, 993, 4773, 4774, 3, 753, 1148, 11, 3, 1258, 1838, 2, 3, 2310, 4773, 4774, 4, 824, 3, 753, 1148, 11, 433, 2385, 1838, 1, 14, 596, 713, 4391, 11, 3, 2788, 1838, 1, 22, 453, 2084, 7, 1611, 8, 420, 17, 100, 2888, 7, 28, 1551, 415, 5, 2499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 39, 5, 1903, 10, 105, 1932, 9, 8, 538, 115, 7, 4646, 4, 8, 753, 1148, 11, 28, 1087, 1289, 5, 544, 12, 238, 14, 157, 199, 1734, 3, 993, 4773, 4774, 3, 753, 1148, 11, 3, 1258, 1838, 2, 3, 2310, 4773, 4774, 4, 824, 3, 753, 1148]"
304,"[639, 29, 9, 3, 69, 5, 485, 41, 20, 1104, 1, 16, 8, 1792, 1126, 34, 1992, 12, 1, 4, 3713, 490, 1387, 3368, 53, 15, 1, 1, 457, 2, 1, 485, 20, 121, 11, 378, 2399, 10, 313, 295, 2, 342, 2399, 5, 409, 12, 1, 141, 114, 8, 411, 65, 11, 565, 994, 2, 66, 54, 10, 521, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[639, 29, 9, 3, 69, 5, 485, 41, 20, 1104, 1, 16, 8, 1792, 1126, 34, 1992, 12, 1, 4, 3713, 490, 1387, 3368, 53, 15, 1, 1, 457, 2, 1, 485, 20, 121, 11, 378, 2399, 10, 313, 295, 2, 342, 3114, 0, 0, 0, 0, 0, 0, 0]"
305,"[3978, 2417, 20, 100, 5, 3, 473, 1209, 1569, 697, 1540, 17, 3, 402, 5, 1055, 1569, 697, 3426, 12, 3149, 10, 8, 56, 907, 4775, 22, 402, 754, 506, 954, 271, 2, 767, 249, 442, 152, 3, 563, 2997, 1595, 150, 2, 112, 162, 218, 3245, 2998, 3, 1569, 1229, 88, 3714, 17, 2525, 2, 3676, 17, 4776, 312, 13, 43, 873, 2643, 2526, 12, 4777, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3978, 2417, 20, 100, 5, 3, 473, 1209, 1569, 697, 1540, 17, 3, 402, 5, 1055, 1569, 697, 3426, 12, 3149, 10, 8, 56, 907, 4775, 22, 402, 754, 506, 954, 271, 2, 767, 249, 442, 152, 3, 563, 2997, 1595, 150, 2, 112, 162, 218, 3245, 2998, 3, 1569]"
306,"[2527, 9, 8, 66, 652, 56, 97, 100, 2037, 1203, 1267, 2986, 883, 4778, 44, 3, 563, 1706, 15, 3, 1281, 4240, 22, 56, 754, 81, 2527, 3246, 51, 2091, 13, 2899, 2527, 9, 3, 911, 1828, 4, 2745, 1203, 2074, 2999, 3, 2696, 2364, 1595, 3, 180, 411, 1036, 2, 2760, 1340, 3000, 1543, 3, 1, 1203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2527, 9, 8, 66, 652, 56, 97, 100, 2037, 1203, 1267, 2986, 883, 4778, 44, 3, 563, 1706, 15, 3, 1281, 4240, 22, 56, 754, 81, 2527, 3246, 51, 2091, 13, 2899, 2527, 9, 3, 911, 1828, 4, 2745, 1203, 2074, 2999, 3, 2696, 2364, 1595, 3, 180, 411, 1036]"
307,"[2199, 9, 8, 1553, 5, 976, 1518, 1012, 10, 8, 445, 5, 128, 249, 3, 898, 772, 13, 3, 3715, 5, 8, 345, 1754, 5, 128, 3, 180, 658, 555, 9, 345, 3716, 1036, 1729, 81, 2037, 1203, 866, 189, 141, 64, 713, 67, 772, 13, 3717, 12, 1340, 2751, 10, 442, 128, 8, 2199, 3718, 1839, 189, 743, 8, 635, 3719, 2918, 3, 3720, 14, 3721, 1453, 189, 1840, 678, 3722, 2, 3001, 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2199, 9, 8, 1553, 5, 976, 1518, 1012, 10, 8, 445, 5, 128, 249, 3, 898, 772, 13, 3, 3715, 5, 8, 345, 1754, 5, 128, 3, 180, 658, 555, 9, 345, 3716, 1036, 1729, 81, 2037, 1203, 866, 189, 141, 64, 713, 67, 772, 13, 3717, 12, 1340, 2751]"
308,"[3002, 9, 8, 997, 5, 455, 1953, 10, 4779, 97, 4780, 455, 2988, 2114, 4781, 621, 10, 3, 791, 5, 1841, 2, 2528, 22, 9, 535, 772, 13, 8, 3003, 5, 26, 275, 53, 15, 4782, 4783, 2, 3723, 1664, 158, 4784, 16, 178, 72, 219, 34, 4785, 2623, 3002, 9, 8, 1630, 73, 186, 2, 31, 815, 615, 628, 472, 2, 2200, 460, 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3002, 9, 8, 997, 5, 455, 1953, 10, 4779, 97, 4780, 455, 2988, 2114, 4781, 621, 10, 3, 791, 5, 1841, 2, 2528, 22, 9, 535, 772, 13, 8, 3003, 5, 26, 275, 53, 15, 4782, 4783, 2, 3723, 1664, 158, 4784, 16, 178, 72, 219, 34, 4785, 2623, 3002]"
309,"[4786, 12, 4787, 9, 3, 669, 799, 5, 2191, 1812, 34, 3573, 12, 490, 3724, 10, 244, 81, 4788, 1662, 266, 10, 8, 460, 650, 2026, 1025, 81, 533, 1954, 869, 3413, 576, 244, 17, 3, 869, 3725, 3, 1812, 2992, 2, 3726, 22, 56, 4789, 3, 3675, 207, 7, 4790, 4791, 2, 1186, 2090, 3, 984, 4792, 5, 2191, 3004, 10, 241, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4786, 12, 4787, 9, 3, 669, 799, 5, 2191, 1812, 34, 3573, 12, 490, 3724, 10, 244, 81, 4788, 1662, 266, 10, 8, 460, 650, 2026, 1025, 81, 533, 1954, 869, 3413, 576, 244, 17, 3, 869, 3725, 3, 1812, 2992, 2, 3726, 22, 56, 4789, 3, 3675, 207, 7]"
310,"[3, 383, 677, 9, 3, 3005, 677, 13, 41, 383, 9, 2755, 740, 3, 736, 410, 3247, 3, 908, 3, 2482, 3, 455, 130, 389, 244, 2, 867, 2, 4793, 175, 25, 88, 2070, 4081, 383, 1121, 2, 2660, 1337, 383, 1121, 26, 275, 1263, 3, 2529, 5, 606, 1034, 1102, 22, 70, 253, 1342, 1337, 3115, 383, 2, 1750, 73, 178, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 383, 677, 9, 3, 3005, 677, 13, 41, 383, 9, 2755, 740, 3, 736, 410, 3247, 3, 908, 3, 2482, 3, 455, 130, 389, 244, 2, 867, 2, 4793, 175, 25, 88, 2070, 4081, 383, 1121, 2, 2660, 1337, 383, 1121, 26, 275, 1263, 3, 2529, 5, 606, 1034]"
311,"[4794, 192, 20, 405, 5, 244, 81, 486, 207, 5, 4795, 609, 43, 544, 20, 1455, 249, 1046, 7, 505, 791, 178, 72, 583, 12, 3723, 2293, 357, 624, 399, 19, 1135, 153, 1600, 1607, 3453, 12, 4796, 1210, 4362, 1, 634, 2, 616, 536, 398, 3, 1, 5, 192, 19, 2289, 34, 3, 1, 4797, 3201, 1170, 1110, 73, 357, 624, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[4794, 192, 20, 405, 5, 244, 81, 486, 207, 5, 4795, 609, 43, 544, 20, 1455, 249, 1046, 7, 505, 791, 178, 72, 583, 12, 3723, 2293, 357, 624, 399, 19, 1135, 153, 1600, 1607, 3453, 12, 4796, 1210, 4362, 1, 634, 2, 616, 536, 398, 3, 1, 5, 192]"
312,"[2070, 9, 3, 56, 115, 13, 1473, 3345, 2, 490, 2743, 7, 1336, 307, 38, 1131, 17, 3, 1978, 44, 112, 38, 10, 3, 84, 5, 2584, 22, 503, 603, 637, 383, 1121, 2, 128, 1337, 945, 15, 8, 1, 2070, 9, 3, 792, 1235, 5, 38, 11, 1628, 76, 90, 19, 539, 2, 9, 3, 911, 56, 1123, 11, 465, 3, 945, 799, 10, 3, 908, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[2070, 9, 3, 56, 115, 13, 1473, 3345, 2, 490, 2743, 7, 1336, 307, 38, 1131, 17, 3, 1978, 44, 112, 38, 10, 3, 84, 5, 2584, 22, 503, 603, 637, 383, 1121, 2, 128, 1337, 945, 15, 8, 1, 2070, 9, 3, 792, 1235, 5, 38, 11, 1628, 76]"
313,"[1709, 9, 3, 753, 5, 8, 30, 1708, 8, 71, 1074, 12, 8, 21, 30, 4, 453, 14, 7, 118, 8, 910, 3006, 1164, 336, 2257, 554, 11, 936, 10, 386, 22, 157, 60, 34, 1607, 445, 431, 707, 3007, 266, 2, 128, 253, 6, 1114, 857, 1378, 3, 2038, 5, 3727, 60, 51, 1145, 7, 583, 12, 30, 1246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1709, 9, 3, 753, 5, 8, 30, 1708, 8, 71, 1074, 12, 8, 21, 30, 4, 453, 14, 7, 118, 8, 910, 3006, 1164, 336, 2257, 554, 11, 936, 10, 386, 22, 157, 60, 34, 1607, 445, 431, 707, 3007, 266, 2, 128, 253, 6, 1114, 857, 1378, 3, 2038]"
314,"[70, 263, 3, 282, 1828, 5, 338, 1446, 13, 4798, 1, 9, 3, 56, 97, 244, 2516, 4799, 7, 43, 757, 2697, 7, 1, 2, 341, 300, 1820, 175, 451, 20, 498, 220, 1389, 2621, 695, 20, 2679, 19, 2, 466, 936, 2, 735, 642, 3637, 1, 300, 277, 777, 117, 1082, 1, 5, 268, 22, 56, 1145, 7, 3, 1767, 2, 215, 5, 192, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[70, 263, 3, 282, 1828, 5, 338, 1446, 13, 4798, 1, 9, 3, 56, 97, 244, 2516, 4799, 7, 43, 757, 2697, 7, 1, 2, 341, 300, 1820, 175, 451, 20, 498, 220, 1389, 2621, 695, 20, 2679, 19, 2, 466, 936, 2, 735, 642, 3637, 1, 300, 277, 777]"
315,"[3, 39, 5, 347, 2, 557, 9, 3, 66, 251, 5, 82, 182, 347, 9, 3, 2530, 5, 8, 819, 12, 614, 1817, 81, 8, 78, 618, 32, 557, 9, 3, 1920, 1025, 1, 7, 1, 81, 4, 618, 3, 260, 48, 98, 199, 560, 547, 3, 1584, 618, 2, 1920, 10, 8, 531, 82, 97, 3, 2530, 1, 4800, 3, 2530, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 39, 5, 347, 2, 557, 9, 3, 66, 251, 5, 82, 182, 347, 9, 3, 2530, 5, 8, 819, 12, 614, 1817, 81, 8, 78, 618, 32, 557, 9, 3, 1920, 1025, 1, 7, 1, 81, 4, 618, 3, 260, 48, 98, 199, 560, 547, 3, 1584, 618, 2]"
316,"[3, 2531, 1436, 392, 1768, 9, 3, 1363, 1194, 262, 5, 76, 3, 4801, 784, 2, 106, 1997, 152, 8, 2532, 1380, 10, 8, 78, 268, 655, 14, 9, 3, 180, 2367, 115, 549, 5, 8, 2532, 31, 1043, 2, 1719, 15, 8, 175, 3227, 5, 31, 167, 2, 671, 1768, 64, 67, 2377, 303, 3, 1955, 299, 3, 1327, 299, 12, 3, 123, 299, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[3, 2531, 1436, 392, 1768, 9, 3, 1363, 1194, 262, 5, 76, 3, 4801, 784, 2, 106, 1997, 152, 8, 2532, 1380, 10, 8, 78, 268, 655, 14, 9, 3, 180, 2367, 115, 549, 5, 8, 2532, 31, 1043, 2, 1719, 15, 8, 175, 3227, 5, 31, 167, 2, 671]"
317,"[1194, 109, 216, 7, 3, 463, 4802, 13, 8, 282, 1956, 34, 3, 4803, 1612, 12, 3, 507, 282, 1956, 7, 1805, 3, 937, 347, 2, 1390, 58, 7, 1673, 12, 4804, 31, 237, 175, 356, 88, 2657, 720, 830, 3, 3728, 1027, 1226, 608, 4805, 3729, 2, 3730, 259, 1205, 2, 1300, 1612, 487, 11, 1797, 2698, 3, 911, 659, 20, 7, 118, 618, 309, 1455, 1510, 2, 107, 2134, 1451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1194, 109, 216, 7, 3, 463, 4802, 13, 8, 282, 1956, 34, 3, 4803, 1612, 12, 3, 507, 282, 1956, 7, 1805, 3, 937, 347, 2, 1390, 58, 7, 1673, 12, 4804, 31, 237, 175, 356, 88, 2657, 720, 830, 3, 3728, 1027, 1226, 608, 4805, 3729, 2, 3730, 259]"
318,"[1823, 109, 216, 7, 3, 89, 5, 259, 1509, 2, 1, 7, 188, 3, 471, 198, 3, 471, 9, 3248, 28, 1, 1823, 109, 157, 669, 1509, 12, 1, 2188, 7, 1, 2167, 557, 198, 3, 471, 9, 1, 8, 1, 109, 157, 1, 1509, 12, 669, 2188, 7, 1, 1510, 1823, 109, 9, 2033, 13, 3, 1129, 2, 1075, 3157, 5, 3, 259, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1823, 109, 216, 7, 3, 89, 5, 259, 1509, 2, 1, 7, 188, 3, 471, 198, 3, 471, 9, 3248, 28, 1, 1823, 109, 157, 669, 1509, 12, 1, 2188, 7, 1, 2167, 557, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
